Item_ID            |Date        |Item
A3250050J2015-04-17|11:29:49.544|Item
B4560050Y2015-04-17|11:39:49.564|Item
C2300040L2015-04-17|12:29:49.564|Item
A1230050M2015-04-17|11:10:49.564|Item
A4760060N2015-04-17|11:26:49.564|Item
B5880050W2015-04-17|12:29:49.564|Item
B3230070R2015-04-17|10:29:49.564|Item
C4660020T2015-04-17|08:29:49.564|Item
C2880020Y2015-04-17|11:29:40.564|Item
C3980040L2015-04-17|11:20:49.564|Item
C3340050L2015-04-17|11:10:49.564|Item
C4550060H2015-04-17|11:12:49.564|Item
B5660070U2015-04-17|11:15:49.564|Item
B2760080K2015-04-17|11:19:49.564|Item
B1780020X2015-04-17|11:20:49.564|Item
B3440060N2015-04-17|11:30:49.564|Item
A5880020J2015-04-17|11:22:49.564|Item
A2900040C2015-04-17|11:40:49.564|Item
A1450060J2015-04-17|11:40:49.564|Item
A7450090F2015-04-17|07:40:49.564|Item
